Intern_ID,Name,Age,Gender,Education_Level,Location,Department,Duration,Stipend,Mentor_Assigned,Mentor_Meetings,Tasks_Completed,Attendance_%,Status
INT0169,Intern_169,26,Female,Undergraduate,Multan,HR,2 Months,Unpaid,Yes,17,9,80.6,Completed
INT0170,Intern_170,25,Female,PhD,Bahawalpur,Marketing,1 Month,Unpaid,No,0,37,53.7,Dropped
INT0171,Intern_171,27,Female,PhD,Multan,Data Science,1 Month,Paid,No,0,41,79.4,Dropped
INT0172,Intern_172,21,Male,PhD,Islamabad,Finance,6 Months,Unpaid,Yes,5,21,96.7,Completed
INT0173,Intern_173,21,Male,Graduate,Peshawar,HR,3 Months,Unpaid,No,0,41,65.1,Completed
INT0174,Intern_174,19,Male,Undergraduate,Multan,Sales,1 Month,Paid,Yes,2,3,97.4,Completed
INT0175,Intern_175,27,Female,PhD,Karachi,Legal,3 Months,Unpaid,Yes,9,42,97.8,Completed
INT0176,Intern_176,21,Female,Graduate,Lahore,Operations,2 Months,Paid,No,0,29,70.8,Completed
INT0177,Intern_177,25,Male,Graduate,Multan,Operations,2 Months,Unpaid,No,0,9,88.0,Dropped
INT0178,Intern_178,26,Male,Graduate,Lahore,Sales,1 Month,Unpaid,No,0,16,57.0,Completed
INT0179,Intern_179,28,Female,Undergraduate,Islamabad,IT,3 Months,Unpaid,No,0,47,65.6,Enrolled
INT0180,Intern_180,20,Female,Graduate,Bahawalpur,Finance,6 Months,Paid,No,0,26,75.3,Completed
INT0181,Intern_181,28,Male,Undergraduate,Quetta,HR,2 Months,Unpaid,No,0,42,83.6,Completed
INT0182,Intern_182,25,Female,Undergraduate,Quetta,Engineering,1 Month,Unpaid,Yes,11,3,70.0,Completed
INT0183,Intern_183,27,Female,Undergraduate,Faisalabad,Legal,2 Months,Unpaid,No,0,18,91.3,Enrolled
INT0184,Intern_184,27,Male,Graduate,Multan,Legal,1 Month,Unpaid,Yes,11,49,57.2,Dropped
INT0185,Intern_185,26,Male,Undergraduate,Islamabad,Legal,6 Months,Unpaid,Yes,16,30,57.4,Completed
INT0186,Intern_186,28,Female,Undergraduate,Faisalabad,Sales,2 Months,Unpaid,No,0,22,75.4,Dropped
INT0187,Intern_187,20,Female,Undergraduate,Multan,Sales,6 Months,Unpaid,No,0,27,79.2,Dropped
INT0188,Intern_188,21,Male,PhD,Karachi,IT,6 Months,Unpaid,No,0,34,81.5,Completed
INT0189,Intern_189,19,Male,Undergraduate,Lahore,Legal,6 Months,Paid,Yes,14,21,70.9,Completed
INT0190,Intern_190,27,Female,PhD,Karachi,Design,2 Months,Paid,No,0,14,78.0,Completed
INT0191,Intern_191,23,Male,Graduate,Multan,Operations,6 Months,Unpaid,No,0,40,74.2,Completed
INT0192,Intern_192,26,Male,Graduate,Quetta,HR,3 Months,Paid,No,0,21,74.0,Enrolled
INT0193,Intern_193,24,Male,PhD,Faisalabad,Sales,3 Months,Unpaid,No,0,50,90.2,Dropped
INT0194,Intern_194,26,Male,Graduate,Bahawalpur,Engineering,1 Month,Unpaid,No,0,14,60.1,Dropped
INT0195,Intern_195,19,Male,Undergraduate,Peshawar,Sales,3 Months,Paid,No,0,43,95.3,Completed
INT0196,Intern_196,20,Male,Graduate,Multan,HR,2 Months,Unpaid,Yes,4,1,98.2,Completed
INT0197,Intern_197,24,Female,PhD,Peshawar,Finance,6 Months,Unpaid,No,0,19,82.3,Dropped
INT0198,Intern_198,25,Male,Graduate,Islamabad,Marketing,2 Months,Paid,Yes,15,12,96.8,Dropped
INT0199,Intern_199,23,Female,PhD,Lahore,Engineering,1 Month,Unpaid,Yes,14,42,77.2,Enrolled
INT0200,Intern_200,21,Female,Undergraduate,Lahore,Operations,2 Months,Unpaid,No,0,47,72.9,Dropped
INT0201,Intern_201,28,Female,Graduate,Peshawar,Engineering,2 Months,Paid,Yes,20,26,91.3,Completed
INT0202,Intern_202,21,Female,PhD,Lahore,Sales,3 Months,Paid,Yes,15,21,96.8,Completed
INT0203,Intern_203,23,Male,Graduate,Quetta,IT,3 Months,Unpaid,No,0,38,86.1,Completed
INT0204,Intern_204,23,Male,Undergraduate,Lahore,IT,3 Months,Unpaid,No,0,11,70.3,Enrolled
INT0205,Intern_205,21,Female,Graduate,Peshawar,Sales,3 Months,Paid,Yes,15,10,72.7,Completed
INT0206,Intern_206,28,Female,PhD,Peshawar,Legal,3 Months,Paid,No,0,6,76.3,Completed
INT0207,Intern_207,21,Male,Undergraduate,Peshawar,Sales,3 Months,Paid,Yes,10,34,72.1,Completed
INT0208,Intern_208,27,Female,Undergraduate,Bahawalpur,HR,6 Months,Paid,Yes,13,30,78.2,Completed
INT0209,Intern_209,22,Male,Graduate,Quetta,Sales,6 Months,Paid,No,0,38,53.7,Completed
INT0210,Intern_210,23,Male,Undergraduate,Bahawalpur,Design,3 Months,Paid,Yes,13,12,88.4,Completed
INT0211,Intern_211,27,Female,Graduate,Faisalabad,Design,3 Months,Paid,No,0,9,82.7,Completed
INT0212,Intern_212,19,Female,PhD,Islamabad,Data Science,1 Month,Paid,Yes,0,20,73.2,Dropped
INT0213,Intern_213,21,Male,Undergraduate,Bahawalpur,Sales,6 Months,Unpaid,No,0,18,59.4,Dropped
INT0214,Intern_214,20,Male,Undergraduate,Peshawar,Marketing,1 Month,Paid,No,0,39,51.7,Completed
INT0215,Intern_215,27,Male,Graduate,Bahawalpur,Legal,1 Month,Paid,Yes,6,49,93.2,Completed
INT0216,Intern_216,22,Male,PhD,Multan,IT,2 Months,Unpaid,No,0,20,93.8,Completed
INT0217,Intern_217,25,Female,Graduate,Karachi,Sales,2 Months,Paid,No,0,36,74.8,Completed
INT0218,Intern_218,25,Female,Graduate,Islamabad,Data Science,6 Months,Unpaid,No,0,12,87.7,Dropped
INT0219,Intern_219,19,Female,PhD,Islamabad,Operations,2 Months,Unpaid,Yes,17,27,98.4,Completed
INT0220,Intern_220,20,Male,Graduate,Peshawar,Sales,2 Months,Unpaid,No,0,29,92.4,Dropped
INT0221,Intern_221,22,Female,Graduate,Karachi,Marketing,2 Months,Paid,Yes,18,47,83.6,Completed
INT0222,Intern_222,22,Female,Graduate,Karachi,HR,6 Months,Paid,Yes,3,48,100.0,Completed
INT0223,Intern_223,25,Female,Undergraduate,Multan,Operations,2 Months,Unpaid,Yes,14,35,82.4,Completed
INT0224,Intern_224,24,Female,Graduate,Lahore,Engineering,3 Months,Unpaid,No,0,14,68.5,Completed
INT0225,Intern_225,23,Male,Undergraduate,Quetta,Design,1 Month,Unpaid,Yes,4,13,66.5,Completed
INT0226,Intern_226,26,Female,Graduate,Bahawalpur,Design,2 Months,Unpaid,No,0,11,86.6,Completed
INT0227,Intern_227,20,Female,Undergraduate,Karachi,Data Science,2 Months,Paid,Yes,1,49,50.3,Enrolled
INT0228,Intern_228,24,Male,Undergraduate,Peshawar,Finance,2 Months,Unpaid,Yes,1,40,81.9,Completed
INT0229,Intern_229,19,Male,Undergraduate,Faisalabad,Legal,6 Months,Paid,No,0,34,86.1,Dropped
INT0230,Intern_230,27,Female,Undergraduate,Lahore,Sales,3 Months,Paid,Yes,4,16,59.6,Completed
INT0231,Intern_231,25,Female,Graduate,Lahore,Sales,3 Months,Unpaid,No,0,30,78.3,Dropped
INT0232,Intern_232,25,Male,Undergraduate,Faisalabad,HR,3 Months,Unpaid,Yes,17,31,52.8,Completed
INT0233,Intern_233,27,Female,Graduate,Multan,IT,2 Months,Paid,Yes,1,15,60.6,Completed
INT0234,Intern_234,21,Male,Undergraduate,Quetta,Legal,6 Months,Paid,No,0,21,50.8,Completed
INT0235,Intern_235,28,Male,Graduate,Islamabad,HR,2 Months,Paid,No,0,25,83.9,Completed
INT0236,Intern_236,19,Male,PhD,Lahore,Sales,3 Months,Unpaid,No,0,7,71.9,Dropped
INT0237,Intern_237,26,Female,Undergraduate,Quetta,Marketing,3 Months,Unpaid,No,0,15,67.8,Completed
INT0238,Intern_238,20,Female,Undergraduate,Quetta,Design,6 Months,Paid,Yes,2,18,57.7,Completed
INT0239,Intern_239,23,Female,Undergraduate,Lahore,Finance,6 Months,Paid,No,0,29,68.0,Dropped
INT0240,Intern_240,27,Male,Undergraduate,Faisalabad,Engineering,1 Month,Unpaid,Yes,17,33,70.4,Completed
INT0241,Intern_241,19,Male,PhD,Multan,IT,1 Month,Unpaid,No,0,19,70.7,Enrolled
INT0242,Intern_242,23,Female,Undergraduate,Islamabad,Marketing,2 Months,Unpaid,Yes,8,32,57.3,Enrolled
INT0243,Intern_243,24,Female,Graduate,Bahawalpur,Finance,6 Months,Paid,No,0,17,97.2,Dropped
INT0244,Intern_244,25,Male,Undergraduate,Quetta,Operations,2 Months,Paid,No,0,22,92.1,Completed
